Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides shControl_CTRL_bR1	Peptides shControl_CTRL_bR2	Peptides shControl_CTRL_bR3	Peptides shControl_EGF_bR1	Peptides shControl_EGF_bR2	Peptides shControl_EGF_bR3	Peptides shTMEM_CTRL_bR1	Peptides shTMEM_CTRL_bR2	Peptides shTMEM_CTRL_bR3	Peptides shTMEM_EGF_bR1	Peptides shTMEM_EGF_bR2	Peptides shTMEM_EGF_bR3	Razor + unique peptides shControl_CTRL_bR1	Razor + unique peptides shControl_CTRL_bR2	Razor + unique peptides shControl_CTRL_bR3	Razor + unique peptides shControl_EGF_bR1	Razor + unique peptides shControl_EGF_bR2	Razor + unique peptides shControl_EGF_bR3	Razor + unique peptides shTMEM_CTRL_bR1	Razor + unique peptides shTMEM_CTRL_bR2	Razor + unique peptides shTMEM_CTRL_bR3	Razor + unique peptides shTMEM_EGF_bR1	Razor + unique peptides shTMEM_EGF_bR2	Razor + unique peptides shTMEM_EGF_bR3	Unique peptides shControl_CTRL_bR1	Unique peptides shControl_CTRL_bR2	Unique peptides shControl_CTRL_bR3	Unique peptides shControl_EGF_bR1	Unique peptides shControl_EGF_bR2	Unique peptides shControl_EGF_bR3	Unique peptides shTMEM_CTRL_bR1	Unique peptides shTMEM_CTRL_bR2	Unique peptides shTMEM_CTRL_bR3	Unique peptides shTMEM_EGF_bR1	Unique peptides shTMEM_EGF_bR2	Unique peptides shTMEM_EGF_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type shControl_CTRL_bR1	Identification type shControl_CTRL_bR2	Identification type shControl_CTRL_bR3	Identification type shControl_EGF_bR1	Identification type shControl_EGF_bR2	Identification type shControl_EGF_bR3	Identification type shTMEM_CTRL_bR1	Identification type shTMEM_CTRL_bR2	Identification type shTMEM_CTRL_bR3	Identification type shTMEM_EGF_bR1	Identification type shTMEM_EGF_bR2	Identification type shTMEM_EGF_bR3	Sequence coverage shControl_CTRL_bR1 [%]	Sequence coverage shControl_CTRL_bR2 [%]	Sequence coverage shControl_CTRL_bR3 [%]	Sequence coverage shControl_EGF_bR1 [%]	Sequence coverage shControl_EGF_bR2 [%]	Sequence coverage shControl_EGF_bR3 [%]	Sequence coverage shTMEM_CTRL_bR1 [%]	Sequence coverage shTMEM_CTRL_bR2 [%]	Sequence coverage shTMEM_CTRL_bR3 [%]	Sequence coverage shTMEM_EGF_bR1 [%]	Sequence coverage shTMEM_EGF_bR2 [%]	Sequence coverage shTMEM_EGF_bR3 [%]	Intensity	Intensity shControl_CTRL_bR1	Intensity shControl_CTRL_bR2	Intensity shControl_CTRL_bR3	Intensity shControl_EGF_bR1	Intensity shControl_EGF_bR2	Intensity shControl_EGF_bR3	Intensity shTMEM_CTRL_bR1	Intensity shTMEM_CTRL_bR2	Intensity shTMEM_CTRL_bR3	Intensity shTMEM_EGF_bR1	Intensity shTMEM_EGF_bR2	Intensity shTMEM_EGF_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
P48634	P48634	15	15	15	Protein PRRC2A	PRRC2A	>sp|P48634|PRC2A_HUMAN Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3	1	15	15	15	9	8	10	11	11	5	9	12	10	10	11	6	9	8	10	11	11	5	9	12	10	10	11	6	9	8	10	11	11	5	9	12	10	10	11	6	9.6	9.6	9.6	228.86	2157	2157	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.2	4	6.8	7.4	6.4	3.2	6.5	7.1	6.2	5.6	7.1	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0				937	1968;2196;2218;2577;2602;2711;4677;5064;5364;6756;7323;8083;8213;8277;9673	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2224;2476;2498;2896;2923;3049;5249;5688;6019;7662;8306;9195;9346;9414;11035	17424;17425;17426;17427;17428;17429;17430;17431;19076;19077;19078;19079;19080;19081;19082;19083;19084;19085;19086;19087;19088;19222;19223;19224;19225;19226;19227;19228;19229;19230;22165;22166;22167;22168;22169;22170;22171;22389;22390;22391;22392;22393;22394;22395;22396;22397;22398;22399;22400;22401;22402;22403;23444;23445;23446;23447;23448;23449;39570;39571;39572;39573;39574;39575;39576;43116;43117;43118;43119;43120;43121;43122;45562;45563;45564;45565;45566;45567;57430;57431;57432;57433;57434;57435;57436;57437;57438;57439;57440;61772;61773;61774;69043;69044;69045;69046;69047;69048;69049;69050;69051;69052;69053;70227;70228;70229;70230;70231;70232;70233;70234;70830;70831;70832;70833;70834;70835;70836;70837;70838;70839;70840;84089;84090;84091;84092	12543;12544;13597;13598;13599;13668;13669;13670;13671;13672;13673;15503;15504;15505;15506;15507;15508;15650;15651;15652;15653;15654;15655;15656;15657;15658;15659;15660;16420;16421;16422;16423;16424;16425;16426;16427;27745;27746;27747;30545;32313;32314;32315;32316;32317;32318;32319;39791;39792;39793;39794;39795;39796;39797;39798;39799;39800;39801;39802;39803;39804;39805;39806;39807;39808;39809;39810;39811;39812;43280;48735;48736;48737;48738;48739;48740;48741;48742;48743;48744;48745;49678;49679;49680;49681;50198;50199;59297	12544;13599;13670;15508;15653;16425;27745;30545;32316;39802;43280;48739;49680;50199;59297		2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;9185;9186;9187;9188;9189;9190;9191		380;610;759;761;782;807;808;823;825;1004;1014;1085;1087;1089;1131;1147;1219;1347;1386
P48637	P48637	1	1	1	Glutathione synthetase	GSS	>sp|P48637|GSHB_HUMAN Glutathione synthetase OS=Homo sapiens OX=9606 GN=GSS PE=1 SV=1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	3.8	3.8	3.8	52.384	474	474	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	3.8	0	3.8	3.8	0	3.8	3.8	0	3.8	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0				938	4147	True	4650;4651	35027;35028;35029;35030;35031;35032;35033;35034;35035	24842;24843;24844;24845	24843		2070		415
P48643	P48643	3	3	3	T-complex protein 1 subunit epsilon	CCT5	>sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	1	3	3	3	1	0	2	0	1	2	0	3	2	0	0	2	1	0	2	0	1	2	0	3	2	0	0	2	1	0	2	0	1	2	0	3	2	0	0	2	6.5	6.5	6.5	59.67	541	541	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	2.6	0	4.4	0	2.6	4.4	0	6.5	4.4	0	0	4.6	22100000	74050	0	6325900	0	260260	4507000	0	7651900	1337000	0	0	1944200	5				939	4057;7095;8633	True;True;True	4550;8046;9828	34205;34206;34207;34208;34209;34210;34211;59883;59884;74140;74141;74142;74143;74144	24324;41912;52486;52487;52488	24324;41912;52486				
P48651	P48651	3	3	3	Phosphatidylserine synthase 1	PTDSS1	>sp|P48651|PTSS1_HUMAN Phosphatidylserine synthase 1 OS=Homo sapiens OX=9606 GN=PTDSS1 PE=1 SV=1	1	3	3	3	1	3	1	1	2	1	1	1	1	0	2	1	1	3	1	1	2	1	1	1	1	0	2	1	1	3	1	1	2	1	1	1	1	0	2	1	10.1	10.1	10.1	55.527	473	473	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	4	10.1	4	4	8	4	4	4	4	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0				940	3621;10065;10510	True;True;True	4062;11462;11970	30979;30980;30981;30982;30983;30984;30985;87484;92033;92034;92035;92036;92037;92038;92039;92040;92041	21870;61701;65217;65218;65219;65220;65221	21870;61701;65220		2071;2072;2073;2074;9192		11;417;423;425;442
P48681	P48681	4	4	4	Nestin	NES	>sp|P48681|NEST_HUMAN Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2	1	4	4	4	1	2	2	2	3	2	2	3	3	3	0	1	1	2	2	2	3	2	2	3	3	3	0	1	1	2	2	2	3	2	2	3	3	3	0	1	6.5	6.5	6.5	177.44	1621	1621	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	0.7	4	3.4	3.4	4.8	3.4	3.4	3.9	5.2	4.8	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0				941	2474;5167;6881;9033	True;True;True;True	2781;5803;7800;10281	21305;21306;21307;21308;21309;44040;44041;44042;44043;44044;44045;44046;44047;44048;58360;58361;77703;77704;77705;77706;77707;77708;77709;77710;77711	14898;14899;14900;31320;40630;40631;54937;54938	14900;31320;40631;54938		2075;2076;2077;2078;2079;9193;9194		338;456;471;680;1560;1571;1577
P48735	P48735	3	2	2	Isocitrate dehydrogenase [NADP], mitochondrial	IDH2	>sp|P48735|IDHP_HUMAN Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2	1	3	2	2	1	0	2	0	2	3	0	3	2	1	0	1	1	0	2	0	1	2	0	2	2	1	0	1	1	0	2	0	1	2	0	2	2	1	0	1	6.9	4.9	4.9	50.909	452	452	0	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	2.9	0	4.9	0	4.9	6.9	0	6.9	4.9	2.9	0	2.9	7534000	253260	0	2787100	0	318360	2761400	0	910420	212330	149650	0	141450	1				942	6314;9940;11418	False;True;True	7174;11326;12958	54030;54031;54032;86409;86410;86411;86412;86413;86414;86415;86416;99343;99344;99345;99346	37739;61009;69947	37739;61009;69947				
P48960	P48960	1	1	1	CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta	CD97	>sp|P48960|CD97_HUMAN CD97 antigen OS=Homo sapiens OX=9606 GN=CD97 PE=1 SV=4	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1.1	1.1	1.1	91.868	835	835	0.00099437	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	1.1	0	0	1.1	1.1	0	1.1	1.1	1.1	1.1	1.1	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				943	606	True	691	5485;5486;5487;5488;5489;5490;5491;5492;5493	3751;3752;3753;3754;3755;3756;3757	3753		2080		831
P49006	P49006	11	11	11	MARCKS-related protein	MARCKSL1	>sp|P49006|MRP_HUMAN MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2	1	11	11	11	9	8	8	10	10	7	10	10	8	9	9	9	9	8	8	10	10	7	10	10	8	9	9	9	9	8	8	10	10	7	10	10	8	9	9	9	87.7	87.7	87.7	19.529	195	195	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	82.1	69.7	77.9	87.2	87.7	78.5	87.2	82.6	77.9	82.1	65.1	82.1	54084000	851970	2479900	8838500	543720	5096400	7448900	1060700	17190000	3836000	2284200	1502000	2951400	8				944	20;666;2172;3109;3188;3214;3245;3246;5703;5704;8790	True;True;True;True;True;True;True;True;True;True;True	25;26;766;2447;3479;3480;3565;3566;3596;3631;3632;6410;6411;10016	210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;6089;6090;6091;6092;18837;18838;18839;18840;18841;18842;18843;18844;18845;18846;18847;18848;18849;18850;18851;18852;26548;26549;26550;26551;26552;26553;26554;26555;26556;26557;26558;26559;26560;26561;26562;26563;26564;26565;26566;26567;26568;26569;26570;26571;26572;26573;26574;26575;26576;26577;26578;26579;27201;27202;27203;27204;27205;27206;27207;27208;27209;27210;27211;27212;27213;27214;27215;27216;27217;27218;27219;27220;27221;27222;27223;27224;27225;27226;27227;27228;27401;27402;27403;27404;27405;27406;27407;27408;27409;27410;27411;27652;27653;27654;27655;27656;27657;27658;27659;27660;27661;27662;27663;27664;27665;27666;27667;27668;27669;27670;27671;27672;27673;27674;27675;27676;27677;27678;27679;48468;48469;48470;48471;48472;48473;48474;48475;48476;48477;48478;48479;48480;48481;48482;48483;48484;48485;48486;75707;75708;75709;75710;75711;75712;75713;75714;75715;75716;75717;75718;75719;75720;75721	140;141;142;143;144;145;146;147;148;4216;4217;13478;13479;13480;18350;18351;18352;18353;18354;18355;18356;18357;18358;18359;18360;18361;18362;18363;18364;18365;18770;18771;18772;18773;18774;18775;18776;18777;18778;18779;18780;18781;18782;18783;18784;18785;18786;18787;18788;18789;18790;18791;18792;18793;18794;18795;18796;18797;18798;18799;18800;18801;18802;18803;18804;18805;18806;18917;18918;18919;18920;18921;19115;19116;19117;19118;19119;19120;19121;19122;19123;19124;19125;19126;19127;19128;19129;19130;19131;19132;19133;19134;19135;19136;19137;19138;19139;19140;19141;19142;19143;19144;19145;19146;19147;19148;19149;19150;19151;19152;19153;19154;19155;19156;19157;19158;19159;19160;19161;19162;19163;19164;19165;19166;19167;19168;19169;19170;19171;19172;19173;19174;19175;19176;19177;19178;19179;19180;19181;19182;19183;19184;19185;19186;19187;19188;19189;19190;19191;19192;19193;19194;19195;19196;19197;19198;19199;19200;19201;19202;19203;19204;19205;19206;19207;19208;19209;19210;19211;19212;19213;19214;19215;19216;19217;19218;19219;19220;19221;19222;19223;19224;19225;19226;19227;19228;19229;19230;19231;19232;19233;19234;19235;19236;19237;19238;19239;19240;19241;19242;19243;19244;19245;19246;19247;19248;19249;19250;19251;19252;19253;19254;19255;19256;19257;19258;19259;19260;19261;19262;19263;19264;19265;19266;34379;34380;34381;34382;34383;34384;34385;34386;34387;34388;34389;34390;34391;34392;34393;34394;34395;34396;53451;53452;53453;53454	146;4216;13479;18352;18779;18918;19200;19266;34379;34383;53453		2081;2082;2083;2084;2085;2086;2087;2088;9195;9196;9197;9198;9199		14;22;36;41;85;104;148;165;174;177;178;180;184
P49023	P49023	10	10	10	Paxillin	PXN	>sp|P49023|PAXI_HUMAN Paxillin OS=Homo sapiens OX=9606 GN=PXN PE=1 SV=3	1	10	10	10	6	9	9	7	9	10	7	8	8	7	5	7	6	9	9	7	9	10	7	8	8	7	5	7	6	9	9	7	9	10	7	8	8	7	5	7	24.2	24.2	24.2	64.505	591	591	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.6	22	22.8	20	22	24.2	20.3	20.6	22.2	20.3	11.3	17.1	5769200	0	0	2021200	0	0	2639400	0	0	420380	0	0	688180	1				945	1366;2325;2932;4423;6978;7933;9295;9901;10351;10759	True;True;True;True;True;True;True;True;True;True	1554;1555;2613;3291;3292;4959;7908;7909;7910;7911;7912;7913;9007;9008;9009;9010;10598;10599;11282;11283;11788;12247;12248	12162;12163;12164;12165;12166;12167;12168;12169;12170;20097;20098;20099;20100;25235;25236;25237;25238;25239;25240;25241;25242;25243;25244;25245;25246;25247;25248;25249;25250;25251;25252;25253;25254;25255;25256;25257;25258;25259;25260;37272;37273;37274;37275;59004;59005;59006;59007;59008;59009;59010;59011;59012;59013;59014;59015;59016;59017;59018;59019;59020;59021;59022;59023;59024;59025;59026;59027;59028;59029;59030;59031;59032;59033;59034;59035;59036;59037;59038;59039;59040;59041;59042;59043;59044;59045;59046;59047;59048;59049;59050;59051;59052;59053;67402;67403;67404;67405;67406;67407;67408;67409;67410;67411;67412;67413;67414;67415;67416;67417;67418;67419;67420;67421;67422;67423;67424;67425;67426;67427;67428;67429;67430;67431;67432;67433;67434;67435;67436;67437;67438;67439;67440;67441;67442;67443;67444;67445;67446;67447;67448;67449;67450;67451;67452;67453;67454;67455;67456;67457;67458;67459;67460;67461;67462;67463;67464;67465;67466;67467;67468;67469;67470;67471;67472;67473;67474;67475;67476;67477;67478;67479;67480;67481;67482;67483;67484;67485;67486;67487;67488;67489;67490;67491;67492;80521;80522;80523;80524;80525;80526;80527;80528;80529;80530;80531;80532;80533;80534;80535;80536;80537;80538;80539;80540;86036;86037;86038;86039;86040;86041;86042;86043;86044;86045;86046;86047;86048;86049;86050;86051;86052;86053;86054;86055;86056;86057;86058;86059;86060;86061;86062;86063;86064;86065;90436;90437;90438;90439;90440;90441;90442;90443;90444;90445;90446;90447;90448;90449;90450;90451;90452;90453;90454;90455;90456;90457;94148;94149;94150;94151;94152;94153;94154;94155;94156;94157;94158;94159;94160;94161;94162;94163;94164	9198;9199;9200;9201;9202;9203;9204;9205;9206;9207;9208;9209;14220;17565;17566;17567;17568;17569;17570;17571;17572;17573;17574;17575;17576;17577;17578;17579;17580;17581;17582;17583;17584;17585;17586;17587;26242;26243;26244;26245;26246;41165;41166;41167;41168;41169;41170;41171;41172;41173;41174;41175;41176;41177;41178;41179;41180;41181;41182;41183;41184;41185;41186;41187;41188;41189;41190;41191;41192;41193;41194;41195;41196;41197;41198;41199;41200;41201;41202;41203;41204;41205;41206;41207;41208;47577;47578;47579;47580;47581;47582;47583;47584;47585;47586;47587;47588;47589;47590;47591;47592;47593;47594;47595;47596;47597;47598;47599;47600;47601;47602;47603;47604;47605;47606;47607;47608;47609;47610;47611;47612;47613;47614;47615;47616;47617;47618;47619;47620;47621;47622;47623;47624;47625;47626;47627;47628;47629;47630;47631;47632;56801;56802;56803;56804;56805;56806;56807;56808;56809;56810;56811;56812;56813;56814;60760;60761;60762;60763;60764;60765;60766;60767;60768;60769;60770;60771;60772;60773;60774;60775;60776;60777;60778;60779;60780;60781;60782;63950;63951;63952;63953;63954;63955;63956;63957;63958;63959;63960;63961;63962;63963;63964;63965;63966;63967;63968;63969;63970;63971;63972;63973;63974;63975;63976;63977;63978;63979;63980;63981;63982;63983;63984;63985;63986;63987;66497;66498;66499;66500;66501	9200;14220;17577;26242;41189;47602;56806;60760;63954;66499	235;236;237	2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100;2101;2102;2103;2104;9200;9201;10585;10586	134;313;337	83;84;85;88;96;106;118;119;126;130;132;135;136;137;258;302;303;320;321;322
P49116	P49116	1	1	1	Nuclear receptor subfamily 2 group C member 2	NR2C2	>sp|P49116|NR2C2_HUMAN Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	2.5	2.5	2.5	65.414	596	596	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	0	2.5	0	2.5	2.5	0	0	2.5	0	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0				946	4391	True	4927	37063;37064;37065;37066;37067;37068;37069	26128;26129	26128		2105		19
P49189	P49189	3	3	3	4-trimethylaminobutyraldehyde dehydrogenase	ALDH9A1	>sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3	1	3	3	3	2	0	2	0	1	3	1	2	3	0	1	3	2	0	2	0	1	3	1	2	3	0	1	3	2	0	2	0	1	3	1	2	3	0	1	3	7.3	7.3	7.3	53.801	494	494	0	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	4.9	0	4.9	0	2	7.3	2	4.5	7.3	0	2	7.3	14898000	221370	0	4948200	0	472730	4304100	57270	2365000	876840	0	267310	1385200	4				947	3370;4182;10891	True;True;True	3770;4692;12389	28636;28637;28638;28639;35304;35305;35306;35307;35308;35309;35310;35311;35312;95169;95170;95171;95172;95173	19927;25077;25078;25079;67190	19927;25079;67190				
P49207	P49207	3	3	3	60S ribosomal protein L34	RPL34	>sp|P49207|RL34_HUMAN 60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3	1	3	3	3	0	0	1	0	0	0	1	3	3	0	2	1	0	0	1	0	0	0	1	3	3	0	2	1	0	0	1	0	0	0	1	3	3	0	2	1	23.1	23.1	23.1	13.293	117	117	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	7.7	0	0	0	6.8	23.1	23.1	0	15.4	6.8	10636000	0	0	433440	0	0	0	259660	6798800	1153600	0	409470	1581500	3				948	330;7554;7924	True;True;True	376;8574;8996	2993;2994;2995;2996;2997;63940;63941;63942;67339;67340;67341	2028;2029;44867;47551	2029;44867;47551		2106		12
P49247	P49247	1	1	1	Ribose-5-phosphate isomerase	RPIA	>sp|P49247|RPIA_HUMAN Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	6.1	6.1	6.1	33.269	311	311	0	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	6.1	6.1	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				949	6430	True	7308	54989;54990;54991	38333	38333		2107		106
P49321	P49321	9	9	9	Nuclear autoantigenic sperm protein	NASP	>sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2	1	9	9	9	6	2	3	6	2	4	4	4	3	4	4	3	6	2	3	6	2	4	4	4	3	4	4	3	6	2	3	6	2	4	4	4	3	4	4	3	10.5	10.5	10.5	85.237	788	788	0	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	7.6	2.8	3.8	6.6	2.8	5.5	3.9	5.1	3.2	3.8	5.1	3.8	49581000	15099000	0	1198600	12348000	0	5400400	7665800	2763700	500260	4044800	231140	328700	21				950	2247;5881;8340;8447;8850;9780;10555;11076;11077	True;True;True;True;True;True;True;True;True	2528;6604;9493;9616;10085;11152;12021;12595;12596	19435;19436;49864;49865;49866;49867;49868;49869;49870;49871;49872;49873;71480;71481;72425;72426;72427;72428;72429;72430;72431;76207;76208;76209;85032;85033;92459;92460;92461;92462;92463;92464;92465;92466;92467;96701;96702;96703;96704;96705;96706;96707;96708;96709;96710	13788;35082;35083;50664;51284;53812;53813;53814;59974;59975;65521;65522;68301;68302;68303;68304;68305;68306;68307;68308;68309;68310;68311;68312;68313	13788;35082;50664;51284;53812;59974;65521;68302;68313		2108;2109		421;451
P49327	P49327	7	7	7	Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	FASN	>sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	1	7	7	7	1	3	6	2	2	6	1	4	4	1	2	3	1	3	6	2	2	6	1	4	4	1	2	3	1	3	6	2	2	6	1	4	4	1	2	3	4.9	4.9	4.9	273.42	2511	2511	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	0.5	2.1	3.9	1.5	1.1	3.9	1	2.2	2.3	1	1.1	3	28663000	0	0	11262000	0	0	13537000	0	1600100	1244600	0	0	1020100	7				951	168;169;1373;5209;5548;8758;10752	True;True;True;True;True;True;True	194;195;1562;5850;6233;9969;12240	1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;12220;12221;12222;44395;44396;44397;44398;44399;47055;47056;47057;47058;47059;75336;75337;75338;94103;94104;94105;94106	995;996;997;998;999;1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;9234;9235;31573;33303;33304;33305;53220;66448	1000;1008;9235;31573;33305;53220;66448		2110;9202;9203		976;2198;2204
P49356	P49356	1	1	1	Protein farnesyltransferase subunit beta	FNTB	>sp|P49356|FNTB_HUMAN Protein farnesyltransferase subunit beta OS=Homo sapiens OX=9606 GN=FNTB PE=1 SV=1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	7.1	7.1	7.1	48.773	437	437	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	7.1	7.1	0	7.1	7.1	0	0	7.1	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				952	919	True	1049	8332;8333;8334;8335;8336;8337	5915	5915		2111		3
P49368	P49368	9	9	9	T-complex protein 1 subunit gamma	CCT3	>sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4	1	9	9	9	4	1	5	1	3	7	2	7	6	3	3	7	4	1	5	1	3	7	2	7	6	3	3	7	4	1	5	1	3	7	2	7	6	3	3	7	24.2	24.2	24.2	60.533	545	545	0	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.9	1.5	16.9	1.5	5.7	20.2	3.5	18.2	15.6	5.7	6.2	18.7	128900000	1166800	114590	34814000	59177	2546200	47347000	224410	18414000	8060500	999190	832680	14324000	17				953	1042;2264;2349;4504;4512;6059;6374;6624;10031	True;True;True;True;True;True;True;True;True	1195;2545;2640;5055;5063;6862;7241;7520;11422	9489;9490;9491;9492;9493;9494;19576;19577;19578;19579;19580;19581;19582;19583;19584;19585;20284;20285;20286;20287;20288;20289;20290;20291;38054;38055;38101;38102;38103;38104;38105;51842;51843;51844;51845;54524;56451;56452;56453;56454;87172;87173;87174;87175;87176;87177;87178;87179;87180	6616;6617;6618;6619;13836;14326;26691;26721;36482;38037;39242;39243;61530;61531;61532;61533;61534	6616;13836;14326;26691;26721;36482;38037;39243;61531				
